jpivarski-talks/2024-06-20-uscms-princeton-tutorial,AWK
ianna/2024-07-PyHEP-AwkwardArrays-in-Julia-for-High-Energy-Physics-Data-Analysis,AWK
CIEMAT-Neutrino/AC-DC,NEUTRINO
benjaminhuth/acts-ckf-gnn-combination,HEP
Tashif-Bashir/ACTSDEMO,HEP
josephzhang0701/acts_v30,HEP
intake/akimbo,AWK
woywoy123/AnalysisG,HEP
usatlas/analysis_tests,HEP
GhadahAlharbi/Atlas_analysis,HEP
IshaqBRST/ATLAS_Analysis,HEP
kon-218/ATLAS-cloud-processing,HEP
cspollard/bbtautau-sbi,HEP
uhh-pd-ml/beyond_kinematics,HEP
dfaroughy/BSM_course_2023,HEP
bu-cms/bucoffea,HEP
chengjiang123/BUFF,HEP
andiwand/cern-scripts,HEP
Princeton-AD/cicada,HEP
Robsution/CICADASectioned,HEP
yoctoyotta1024/CLEO,CLIMATE
Joel-Oscar-Mills/Cloud-Computing-Assessment,HEP
parnassus-hep/cms-flow,HEP
ainfosec/codex,SECURITY
Gali4ka/Coffea,HEP
UMDCMS/ControlUI,HEP
abijitj/cse145-particle-transformer,HEP
Saransh-cpp/cuda-histogram,AWK
ludomori99/Darkphotons_Run3,HEP
vincent254-hub/Data-Analysis_Assignment,HEP
Mphaka-Mankgele/Data_Science_in_High_Energy_Physics,HEP
CERN-IT-INNOVATION/DeepLAr,HEP
eic/detector_benchmarks,HEP
imdinu/diquark-analysis,HEP
RedOffset6/distributed_hzz,HEP
zamurda/dune_classification,NEUTRINO
fraivone/EfficiencyAnalyzer,HEP
ikrommyd/egamma-tnp,HEP
theislab/ehrdata,BIO
nobrainmonkey/eic-project,HEP
uniovi-hepex/emeleTrigger,HEP
arhayrap/ETROC2_Test_Stand,HEP
ldk111/FASER-2-MPhys-Project-ACTS,HEP
dkobylianskii/fastsim-advanced,HEP
usarica/FNAL-QCDecodingTests,HEP
EASS-HIT-PART-A-2022-CLASS-II/food-ordering,OTHER
XENONnT/fuse,DM
enricozammitlon/GAN4DS,NEUTRINO
fiorotto8/gasmonitoring,HEP
lobis/geant4-python-application,HEP
giorgiopizz/gen_studies,HEP
DimAthanasakos/GNNs-and-Jets,HEP
jacanchaplais/graphicle,HEP
yimuchen/gui_example,HEP
curtisjhu/hadronicNF,HEP
ojoS2/HandsOnFile,DS
Star9daisy/hep-ml-lab,HEP
chuyuanliu/heptools,HEP
ruelasvh/hh,HEP
Vvvvvvvictor/HiggsDNA,HEP
Vvvvvvvictor/HiggsZGammaAna,HEP
zebingwang/HiggsZGammaAna,HEP
rodralva/HNL_lan_ana_macros,HEP
KayVeeZ/HZZ_Docker,HEP
justinjmueller/icarus_numu_ml_selection,HEP
jsdancu/icenet,HEP
iris-hep/idap-200gbps-atlas,HEP
choisant/imcalML,HEP
Vioolette/internship_L2_cern,HEP
pnnoc/IRIS_HEP_AGC,HEP
open-physics/jet-physics-and-machine-learning,HEP
kage-genotyper/kage,BIO
det-lab/kaitai_struct_awkward_runtime,AWK
High-Energy-Physics-Institute/KM3Former,HEP
AdrianAlan/L1CaloTriggerAD,HEP
Charlotte-Knight/L1EGRates,HEP
AdrianAlan/l1-jet-tagging,HEP
bundocka/L1NetMET,HEP
legend-exp/legend-pydataobj,NEUTRINO
bualust/lhe_analyser,HEP
plasorak/LiquidO-Plots,NUCLEAR
axel-ponten/LLP-at-IceCube,NEUTRINO
panda-luminosity-detector-group/LMD-Alignment,HEP
CharliePYR/LMU_DA_ML_Basic,HEP
Moelf/mapyde,HEP
bianchimario/MARS,DS
nVentis/MEM_HEP,HEP
HEP-KBFI/ml-tau-en-reg,HEP
taylorai/mlx_embedding_models,DS
rachsmith1/NDIVE,HEP
antoine-amy/Nickel_Cryostat_design,NEUTRINO
atlas-outreach-data-tools/notebooks-collection-opendata,HEP
nhartman94/np-tutorial,HEP
cerminar/ntuple-analysis,HEP
dacarber/nue_ml_selection,NEUTRINO
ViniciusMikuni/OmniLearn,HEP
webithug/OmniLearn_web,HEP
annaivina/PartNet_Local,HEP
RUB-EP1/pawian-tools,HEP
adarshchbs/pdf2md,DS
yszhang95/PIAnalysis,HEP
PocketCoffea/PocketCoffea,HEP
gsaha009/ProduceCmsdbCampaign,HEP
Harvard-Neutrino/prometheus,NEUTRINO
roy-cruz/PURSUE-scikithep,HEP
zbilodea/pyhep2024-hepconvert,AWK
gabrielmscampos/pyhepframework,HEP
neko-0/pyssrl,HEP
maplexgitx0302/QCGNN,HEP
NTUHEP-QML/QCGNN,HEP
maplexgitx0302/QML-CMSSW_2015MiniAOD,HEP
maplexgitx0302/QML-QCGNN,HEP
pnnoc/r3k,HEP
scikit-hep/ragged,AWK
alpakpinar/rebsmearv2
juniperfdel/Root-Convert,HEP
jdbrice/rootext,HEP
CU-DBMI/rtx-kg2-gateway,BIO
afm1g15/sbncode,NEUTRINO
CU-DBMI/set-effort-analysis,DS
CU-DBMI/set-presentations,DS
playonverbs/sigmazerosearch,NEUTRINO
Harvard-Neutrino/SIREN,NEUTRINO
WayScience/software-landscape-analysis,DS
CIEMAT-Neutrino/SOLAR,NEUTRINO
sophiemiddleton/SourceFitting,HEP
mattiasoldani/succolib,HEP
jpivarski/tiled-uproot,AWK
ChenHua-Hsu/truobleshooting,HEP
mmarchegiani/ttHbb_SPANet,HEP
c0pp1/TTN4HEP,HEP
Moelf/UnROOT_RDataFrame_MiniBenchmark,HEP
tomeichlersmith/uplcio,HEP
cmstas/vbs,HEP
es-zenhom/vbs2,HEP
Princeton-AD/wombat,HEP
mbileska/wombattest,HEP
jreyesv063/w_prime_plus_b_hadronic_channel,HEP
UMN-CMS/WrCoffea,HEP
LHCb-Cincinnati/WWProduction,HEP
YonsiG/XtoYH_pNN_ggbb,HEP
