graphnet-team/graphnet,ASTRO
jlazar17/IceCube_Masterclass_MoonShadow,ASTRO
mkotyushev/graphnet,ASTRO
pband1256/GNN_preprocessing,ASTRO
pone-software/ananke,ASTRO
pone-software/apollo,ASTRO
pone-software/olympus,ASTRO
Zstone19/TempMap,ASTRO
agoose77/dask-awkward,AWK
agoose77/midas-awkward-tutorial,AWK
agoose77/midas-tape,AWK
dask-contrib/dask-awkward,AWK
det-lab/kaitai_struct_awkward_runtime,AWK
douglasdavis/awkward-pandas,AWK
douglasdavis/dask-awkward-demo,AWK
douglasdavis/pyhep-2022-dask,AWK
douglasdavis/uproot5,AWK
GianlucaFicarelli/awkward-pandas,AWK
ianna/2024-07-PyHEP-AwkwardArrays-in-Julia-for-High-Energy-Physics-Data-Analysis,AWK
intake/akimbo,AWK
intake/awkward-pandas,AWK
jpivarski-talks/2022-07-11-scipy-loopy-tutorial,AWK
jpivarski-talks/2024-06-20-uscms-princeton-tutorial,AWK
jpivarski/tiled-uproot,AWK
lobis/uproot5,AWK
mgttt/uproot5,AWK
Moelf/uproot5,AWK
mroeschke/awkward-pandas,AWK
ramonbrugman/uproot4,AWK
Saransh-cpp/cuda-histogram,AWK
scikit-hep/awkward,AWK
scikit-hep/fastjet,AWK
scikit-hep/ragged,AWK
scikit-hep/uproot5,AWK
scikit-hep/uproot-browser,AWK
sshyran/dask-awkward,AWK
tamasgal/uproot5,AWK
terasakisatoshi/uproot-browser,AWK
veprbl/dask-awkward,AWK
virusfunk/uproot-browser,AWK
wtfnukee/uproot5,AWK
zbilodea/pyhep2024-hepconvert,AWK
CU-DBMI/rtx-kg2-gateway,BIO
janreising/astroCAST,BIO
kage-genotyper/kage,BIO
scverse/scirpy,BIO
theislab/ehrdata,BIO
AxisVM/pyaxisvm,CAD
Cloud-Drift/clouddrift,CLIMATE
milancurcic/clouddrift,CLIMATE
philippemiron/clouddrift,CLIMATE
phinate/interpolation-with-flows,CLIMATE
selipot/clouddrift,CLIMATE
yoctoyotta1024/CLEO,CLIMATE
deeplook/streamlit-helpers,CS
ob-trading/portable-es,CS
rutvij26/React_Projects,CS
tamaraSlu/food-ordering-devOps,CS
jmccartin/missile-tid,DEFENSE
msuriar/missile-tid,DEFENSE
tylerni7/missile-tid,DEFENSE
XENONnT/epix,DM
XENONnT/fuse,DM
adarshchbs/pdf2md,DS
bianchimario/MARS,DS
CU-DBMI/set-effort-analysis,DS
CU-DBMI/set-presentations,DS
fspinna/benchtime,DS
fspinna/datatime,DS
fspinna/plottime,DS
ojoS2/HandsOnFile,DS
taylorai/mlx_embedding_models,DS
WayScience/software-landscape-analysis,DS
silvxlabs/DripTorch,FIRE
Amit2016-17/stackstac,GEO
ashiquebiniqbal/stackstac,GEO
cOsprey/stackstac,GEO
g2giovanni/stackstac,GEO
GAIMJKP/stackstac,GEO
GenerelSchwerz/Drone-Prototype-Code,GEO
gjoseph92/stackstac,GEO
JamesOConnor/stackstac,GEO
jmorton-usgs/stackstac,GEO
kylebarron/stackstac,GEO
matthewhanson/stackstac,GEO
morandiaye/stackstac,GEO
pixalytics-ltd/stackstac,GEO
RichardScottOZ/stackstac,GEO
rmg55/stackstac,GEO
robintw/stackstac,GEO
scottyhq/stackstac,GEO
sfrias/stackstac,GEO
j8sr0230/codelink,GUI
dewloosh/dewloosh-geom,MATH
dewloosh/dewloosh-math,MATH
dewloosh/Neumann,MATH
dewloosh/PolyMesh,MATH
dewloosh/SigmaEpsilon,MATH
dewloosh/spdata,MATH
python-graphblas/python-graphblas,MATH
sigma-epsilon/sigmaepsilon.math,MATH
sigma-epsilon/sigmaepsilon.mesh,MATH
titisda/graph-python,MATH
delannoy/lastfm-explorer,MUSIC
afm1g15/sbncode,NEUTRINO
antoine-amy/Nickel_Cryostat_design,NEUTRINO
axel-ponten/LLP-at-IceCube,NEUTRINO
CIEMAT-Neutrino/AC-DC,NEUTRINO
CIEMAT-Neutrino/SOLAR,NEUTRINO
dacarber/nue_ml_selection,NEUTRINO
enricozammitlon/GAN4DS,NEUTRINO
Harvard-Neutrino/prometheus,NEUTRINO
Harvard-Neutrino/SIREN,NEUTRINO
legend-exp/legend-pydataobj,NEUTRINO
playonverbs/sigmazerosearch,NEUTRINO
qismib/QuaKe,NEUTRINO
radiradev/generator_translation,NEUTRINO
zamurda/dune_classification,NEUTRINO
JoranAngevaare/RP2021,NUCLEAR
plasorak/LiquidO-Plots,NUCLEAR
EASS-HIT-PART-A-2022-CLASS-II/food-ordering,OTHER
ainfosec/codex,SECURITY
bat/batty,STATS
cmpatino/optimal-observables,STATS
fuenfundachtzig/LMU_DA_ML_Basic,STATS
leonweber/nessie,STATS
SamuelLarkin/nessie,STATS
UKPLab/nessie,STATS
451488975/Jet_tagging,HEP
abijitj/cse145-particle-transformer,HEP
acts-project/acts,HEP
adasco2022/act,HEP
adminyjqr/ssl-hep,HEP
AdrianAlan/L1CaloTriggerAD,HEP
AdrianAlan/l1-jet-tagging,HEP
agoose77/uproot5,HEP
alexey-luchinsky/rrF,HEP
alpakpinar/rebsmearv2,HEP
amangoel185/uproot-browser,HEP
aminnj/pdroot,HEP
amitkr2410/JETSCAPE-analysis,HEP
Ananya1306/uproot-browser,HEP
andiwand/cern-scripts,HEP
andrey-popov/ml-jec,HEP
andriiknu/RDF,HEP
annaivina/PartNet_Local,HEP
arhayrap/ETROC2_Test_Stand,HEP
asalzburger/acts,HEP
atlas-outreach-data-tools/notebooks-collection-opendata,HEP
benjaminhuth/acts-ckf-gnn-combination,HEP
Blizzard57/jet-tagging,HEP
BNLIF/drop,HEP
boostedsvj/svj_ntuple_processing,HEP
brownd1978/KKTrain_1,HEP
Bryancaraway/ttZ-h_eft,HEP
btcardwell/SIDM,HEP
bualust/lhe_analyser,HEP
bu-cms/bucoffea,HEP
bundocka/L1NetMET,HEP
c0pp1/TTN4HEP,HEP
cerminar/ntuple-analysis,HEP
CERN-IT-INNOVATION/DeepLAr,HEP
cgsavard/triton_multiuser_benchmarks,HEP
CharliePYR/LMU_DA_ML_Basic,HEP
Charlotte-Knight/L1EGRates,HEP
chengjiang123/BUFF,HEP
ChenHua-Hsu/truobleshooting,HEP
chnzhangrui/SgTopWorkshop,HEP
choisant/imcalML,HEP
chuyuanliu/heptools,HEP
cms-l1-dpg/Phase2-L1MenuTools,HEP
cms-nanoAOD/correctionlib,HEP
cmstas/vbs,HEP
CoffeaTeam/coffea,HEP
colizz/weaver-core-dev,HEP
columnflow/columnflow,HEP
cristobalchavez21/master_thesis,HEP
cspollard/bbtautau-sbi,HEP
curtisjhu/hadronicNF,HEP
danbarto/tamalero,HEP
deinal/jec-dnn,HEP
deinal/jec-gnn,HEP
deinal/jec-inference,HEP
denehoffman/PartialWaveAnalysis,HEP
denehoffman/splot,HEP
deoache/wprime_plus_b,HEP
dfaroughy/BSM_course_2023,HEP
dguest/mlbnn,HEP
diamondIPP/HighResAnalysis,HEP
DimAthanasakos/GNNs-and-Jets,HEP
dkobylianskii/fastsim-advanced,HEP
draghuram/top-quark-mass,HEP
DraTeots/trd_rec,HEP
DryRun/boffea,HEP
dteague/Analysis_Suite,HEP
d-w-liu/personal-projects,HEP
edcuba/hgcal-pattern-reco,HEP
edcuba/TICLPatternReco,HEP
eic/detector_benchmarks,HEP
eic/epic-capybara,HEP
elumixor/mtcp,HEP
es-zenhom/vbs2,HEP
eweik/AwkwardNN,HEP
ewencedr/FastJet-LHCO,HEP
ExoPie/ExoPieAwkwardAnalyzer,HEP
FAIR4HEP/hbb_interaction_network,HEP
farakiko/xai4hep,HEP
FAST-HEP/fast-carpenter,HEP
FAST-HEP/fasthep-carpenter,HEP
FAST-HEP/scikit-validate,HEP
fiorotto8/gasmonitoring,HEP
fiorotto8/GASMON_P5,HEP
fraivone/EfficiencyAnalyzer,HEP
gabrielmscampos/pyhepframework,HEP
Gali4ka/Coffea,HEP
ggvanseev/AliceJetAI,HEP
GhadahAlharbi/Atlas_analysis,HEP
giorgiopizz/gen_studies,HEP
gordonwatts/layered-edm,HEP
gordonwatts/xaod_usage,HEP
gregoryfdel/Root-Convert,HEP
gsaha009/ProduceCmsdbCampaign,HEP
GuillermoFidalgo/UPRM-intro-to-python,HEP
guitargeek/geeksw,HEP
HenryDayHall/jetTools,HEP
HenryDayHall/spectraljet,HEP
hepaccelerate/hepaccelerate,HEP
hepdataframe/hepdataframe,HEP
HEP-KBFI/ml-tau-en-reg,HEP
HEP-KBFI/ml-tau-reco,HEP
High-Energy-Physics-Institute/KM3Former,HEP
hqucms/ParticleNet,HEP
hqucms/weaver-core,HEP
hsf-training/hsf_matplotlib_notebooks,HEP
